ID,name,information,weight,alias,birthDate,birthPlace,birthYear,debutTeam,draftYear,formerTeam,height,position,team
267,Albert Evans (American football),Albert Tremmell Evans (born October 16 1989) is an American football Safety for the Miami Dolphins. He was signed as an undrafted free agent following the 2012 NFL Draft. He played college football at Purdue.,NULL,NULL,10/16/1989,Gary Indiana,1989-01-01T00:00:00+02:00,NULL,NULL,Miami Dolphins,NULL,NULL,NULL
271,Albert McClellan,Albert Jamel McClellan (born June 4 1986) is an American football linebacker for the Baltimore Ravens. He played college football at Marshall University from 2005/2009 and was signed as an undrafted free agent after the 2010 NFL Draft.,111.132,NULL,6/4/1986,Lakeland Florida,1986-01-01T00:00:00+02:00,Baltimore Ravens,NULL,Baltimore Ravens,1.8796,NULL,Baltimore Ravens
272,Albert Toeaina,Albert Toeaina (born June 26 1984 in San Francisco California) is a professional American and Canadian football offensive tackle for the Las Vegas Locomotives of the United Football League. He was signed by the Carolina Panthers as an undrafted free agent in 2006. He played college football for Tennessee.He has also been a member of the Oakland Raiders and Hamilton Tiger-Cats.,151.956,NULL,6/26/1984,NULL,1984-01-01T00:00:00+02:00,Hamilton Tiger-Cats,NULL,{Carolina Panthers|Oakland Raiders|Hamilton Tiger-Cats|Las Vegas Locomotives},1.9558,NULL,Las Vegas Locomotives
278,Aldon Smith,Aldon Jacarus Smith (born September 25 1989) is an American football outside linebacker for the San Francisco 49ers of the National Football League (NFL). He played college football for the University of Missouri. He was chosen by the 49ers with the seventh overall pick in the 2011 NFL Draft.,120.204,NULL,9/25/1989,Greenwood Mississippi,1989-01-01T00:00:00+02:00,San Francisco 49ers,2011-01-01T00:00:00+02:00,San Francisco 49ers,1.9304,Linebacker,San Francisco 49ers
279,Aldrick Robinson,Aldrick Robinson (born September 24 1988) is an American football wide receiver for the Washington Redskins of the National Football League (NFL). He was selected in the sixth round of the 2011 NFL Draft with the 178th pick by the Redskins. He played college football at Southern Methodist University.,82.1016,NULL,9/24/1988,Dallas,1988-01-01T00:00:00+02:00,Washington Redskins,2011-01-01T00:00:00+02:00,Washington Redskins,1.778,Wide receiver,Washington Redskins
281,Alec Lemon,Alec Tyler Lemon (born July 1 1991) is an American football wide receiver for the Houston Texans of the National Football League (NFL). He played college football for the Syracuse Orange and was signed as an undrafted free agent by the Texans in 2013.,NULL,NULL,7/1/1991,Aurora Colorado,1991-01-01T00:00:00+02:00,NULL,NULL,Houston Texans,NULL,Wide receiver,Houston Texans
282,Alec Ogletree,Alec Ogletree (born September 25 1991) is an American football linebacker for the St. Louis Rams of the National Football League (NFL). Ogletree played college football for the University of Georgia. The St. Louis Rams chose him in the first round of the 2013 NFL Draft.,NULL,NULL,9/25/1991,Newnan Georgia,1991-01-01T00:00:00+02:00,NULL,2013-01-01T00:00:00+02:00,St. Louis Rams,NULL,Linebacker,St. Louis Rams
287,Alex Boone,Alex Boone (born May 4 1987) is an American football guard for the San Francisco 49ers of the National Football League. He played college football for the Ohio State Buckeyes.,136.08,NULL,5/4/1987,Lakewood Ohio,1987-01-01T00:00:00+02:00,San Francisco 49ers,NULL,San Francisco 49ers,2.032,NULL,San Francisco 49ers
291,Alex Carder,Alex Carder (born October 22 1989) is an American football quarterback for the Jacksonville Sharks of the Arena Football League (AFL). He was signed as a free agent by the Detroit Lions of the National Football League. He was formerly the starting quarterback at Western Michigan University.,NULL,NULL,10/22/1989,Springfield Missouri,1989-01-01T00:00:00+02:00,Nashville Venom,NULL,{Detroit Lions|Jacksonville Sharks|Iowa Barnstormers|Nashville Venom},NULL,Quarterback,Jacksonville Sharks
292,Alex Carrington,Alex Carrington (born June 19 1987) is an American football defensive tackle for the St. Louis Rams of the National Football League (NFL). He was drafted by the Buffalo Bills in the third round of the 2010 NFL Draft. He played college football at Arkansas State.,136.5336,NULL,6/19/1987,Tupelo Mississippi,1987-01-01T00:00:00+02:00,Buffalo Bills,2010-01-01T00:00:00+02:00,{Buffalo Bills|St. Louis Rams},1.9558,Tackle (American and Canadian football),St. Louis Rams
293,Alex Daniels,Alex Daniels (born November 27 1986) is an American football Defensive end who is currently a free agent. He was signed by the Oakland Raiders as an undrafted free agent in 2010.,117.4824,NULL,11/27/1986,Lorain Ohio,1986-01-01T00:00:00+02:00,NULL,NULL,{Dallas Cowboys|New Orleans Saints|Oakland Raiders|Chicago Rush|Edmonton Eskimos},1.9304,NULL,NULL
296,Alex Green,Alexander Denell Green (born June 23 1988) is an American football running back for the New York Jets of the National Football League (NFL). He played college football at The University of Hawaii. He was considered one of the better running back prospects for the 2011 NFL Draft. He was drafted third round 96th overall by the Green Bay Packers in the 2011 NFL Draft.,102.06,NULL,1988-06-23,Portland Oregon,1988-01-01T00:00:00+02:00,Green Bay Packers,2011-01-01T00:00:00+02:00,{Green Bay Packers|New York Jets},1.8288,Running back,New York Jets
297,Alex Guerrero,Alex Guerrero (born February 16 1984 in Brea California) is former American football offensive and defensive lineman. He was signed by the Kansas City Chiefs as an undrafted free agent in 2006. He played college football at Boise State. He played the 2009 season with the Boise Burn of af2 and in the 2010 season with the Arizona Rattlers of the Arena Football League. Guerrero now runs his own brand management company for athletes.,124.74,NULL,2/16/1984,NULL,1984-01-01T00:00:00+02:00,NULL,NULL,{Minnesota Vikings|Seattle Seahawks|Arizona Rattlers|Hamilton Tiger-Cats|Boise Burn|Kansas City Chiefs},1.8542,NULL,NULL
298,Alex Hall (American football),Alex Hall (born August 17 1985) is an American football defensive end for the Carolina Panthers of the National Football League (NFL). He was drafted by the Cleveland Browns in the seventh round of the 2008 NFL Draft. He played college football at St. Augustine's College. Hall was a member of the Philadelphia Eagles Arizona Cardinals New York Giants in the NFL and the Winnipeg Blue Bombers and Saskatchewan Roughriders of the Canadian Football League.,113.4,NULL,8/17/1985,Glenarden Maryland,1985-01-01T00:00:00+02:00,Cleveland Browns,2008-01-01T00:00:00+02:00,{Arizona Cardinals|Carolina Panthers|Cleveland Browns|New York Giants|Philadelphia Eagles|Saskatchewan Roughriders|Winnipeg Blue Bombers},1.9558,NULL,Carolina Panthers
300,Alex Henery,Alex Henery (born August 17 1987) is an American football kicker for the Philadelphia Eagles of the National Football League (NFL). He played college football for the Nebraska Cornhuskers setting an NCAA record for field goal accuracy with an 89.5% success rate. He was drafted by the Eagles in the fourth round of the 2011 NFL Draft.,80.2872,NULL,8/18/1987,Omaha Nebraska,1987-01-01T00:00:00+02:00,Philadelphia Eagles,2011-01-01T00:00:00+02:00,Philadelphia Eagles,1.8542,NULL,Philadelphia Eagles
308,Alex Mack,Javon Alexander Alex Mack (born November 19 1985) is an American football center for the Cleveland Browns of the National Football League. He played college football for the University of California and was drafted by the Cleveland Browns 21st overall in the 2009 NFL Draft.,141.0696,NULL,11/19/1985,Los Angeles,1985-01-01T00:00:00+02:00,Cleveland Browns,2009-01-01T00:00:00+02:00,Cleveland Browns,1.9304,Center (American and Canadian football),Cleveland Browns
309,Alex Magee,Alex Magee (born April 28 1987 in Oswego Illinois) is an American football defensive end who is a member of the Arizona Rattlers of the Arena Football League. He was drafted by the Chiefs in the third round of the 2009 NFL Draft. He played college football at Purdue.He also played for the Tampa Bay Buccaneers.,135.1728,NULL,4/28/1987,NULL,1987-01-01T00:00:00+02:00,Kansas City Chiefs,2009-01-01T00:00:00+02:00,{Tampa Bay Buccaneers|Arizona Rattlers|Chicago Rush|Utah Blaze|Kansas City Chiefs},1.905,NULL,Arizona Rattlers
310,Alex Mortensen,Alexander Christian Mortensen (born November 24 1985 in Atlanta Georgia) is a gridiron football quarterback who is currently a free agent. He was signed by the Tennessee Titans as an undrafted free agent in 2009. He played college football at Arkansas and at Samford.He is the son of ESPN analyst Chris Mortensen.,100.6992,NULL,11/24/1985,Atlanta Georgia,1985-01-01T00:00:00+02:00,NULL,NULL,Tennessee Titans,1.8542,Quarterback,Free agent
316,Alex Singleton,Alex Singleton (born November 7 1989) is an American football fullback for the Arizona Rattlers of the Arena Football League (AFL). He played college football at Tulsa where he was a running back. He was signed as an undrafted free agent by the Oakland Raiders in 2013.,124.74,NULL,11/7/1989,New Orleans,1989-01-01T00:00:00+02:00,Arizona Rattlers,NULL,NULL,1.8034,NULL,{Oakland Raiders|Arizona Rattlers}
317,Alex Smith,Alexander Douglas Alex Smith (born May 7 1984) is an American football quarterback for the Kansas City Chiefs of the National Football League (NFL). He was the first overall pick by the San Francisco 49ers in the 2005 NFL Draft.Smith played college football for the Utah Utes. In 2004 he was named the Mountain West Conference Player of the Year and led the Utes to a Fiesta Bowl victory and a national top-five finish.,98.4312,NULL,5/7/1984,Bremerton Washington,1984-01-01T00:00:00+02:00,San Francisco 49ers,2005-01-01T00:00:00+02:00,{San Francisco 49ers|Kansas City Chiefs},1.9304,Quarterback,Kansas City Chiefs
318,Alex Smith (tight end),Edwin Alexander Alex Smith (born May 22 1982) is an American football tight end in the National Football League who is currently a Free Agent. He was drafted by the Tampa Bay Buccaneers in the third round of the 2005 NFL Draft. He played college football at Stanford.He has also been a member of the New England Patriots Philadelphia Eagles and the Cleveland Browns.,117.0288,NULL,5/22/1982,Denver,1982-01-01T00:00:00+02:00,Tampa Bay Buccaneers,2005-01-01T00:00:00+02:00,{Cincinnati Bengals|Cleveland Browns|New England Patriots|Philadelphia Eagles|Tampa Bay Buccaneers},1.9304,NULL,Free agent
319,Alex Stepanovich,Aleksandar Stepanovich (/st??p??n?v?t?/ ste-PAHN-o-vich born September 25 1981 in Berea Ohio) is an American football center who is currently a free agent. He was drafted by the Arizona Cardinals in the fourth round of the 2004 NFL Draft. He played college football at Ohio State. He has several lifetime achievement awards for contributions to community wrestling and football. He has been a motivational speaker and coach.,134.2656,NULL,9/25/1981,Berea Ohio,1981-01-01T00:00:00+02:00,Arizona Cardinals,2004-01-01T00:00:00+02:00,{Arizona Cardinals|Atlanta Falcons|Cincinnati Bengals|Pittsburgh Steelers|Hartford Colonials},1.9304,NULL,Free agent
320,Alex Tanney,Alex Tanney (born November 11 1987) is an American football quarterback for the Cleveland Browns of the National Football League (NFL). He was the starting quarterback for the Monmouth College Fighting Scots. Tanney is known for making a montage video showing trick football throws that went viral. On October 29 2011 in a game against Carroll University Tanney set the NCAA record for all-time career touchdown passes.,99.792,NULL,11/11/1987,Lexington Illinois,1987-01-01T00:00:00+02:00,NULL,NULL,{Cleveland Browns|Dallas Cowboys|Kansas City Chiefs},1.9304,Quarterback,Cleveland Browns
328,Alex Wujciak,Alex Wujciak  is an American football linebacker. He was signed by the Browns as an undrafted free agent in 2011. He played college football at Maryland.,106.596,NULL,4/15/1988,NULL,1988-01-01T00:00:00+02:00,NULL,NULL,Cleveland Browns,1.905,Linebacker,NULL
332,Alfonso Smith,Alfonso Smith (born January 23 1987) is an American football running back who is currently a free agent. He was signed by the Cardinals as an undrafted free agent in 2010. He played college football at Kentucky.,94.3488,NULL,1/23/1987,San Bernardino California,1987-01-01T00:00:00+02:00,Arizona Cardinals,NULL,Arizona Cardinals,1.8542,Running back,NULL
333,Alfonzo Dennard,Alfonzo Dennard (born September 9 1989) is an American football cornerback with the New England Patriots. He played in college for the University of Nebraska Cornhuskers.,NULL,NULL,9/9/1989,Rochelle Georgia,1989-01-01T00:00:00+02:00,New England Patriots,2012-01-01T00:00:00+02:00,New England Patriots,NULL,NULL,New England Patriots
337,Alfred Malone,Alfred Wayne Malone (born February 21 1982 in Frisco City Alabama) is an American football defensive tackle. He was signed by the Houston Texans as an undrafted free agent in 2005. He played college football at Troy.Malone has also played for the Green Bay Packers and Las Vegas Locomotives.,141.5232,NULL,2/21/1982,NULL,1982-01-01T00:00:00+02:00,Houston Texans,NULL,{Green Bay Packers|Houston Texans|Las Vegas Locomotives},1.9304,NULL,NULL
338,Alfred Morris (American football),Alfred Bruce Morris (born December 12 1988) is an American football running back for the Washington Redskins of the National Football League (NFL). He was selected in the sixth round of the 2012 NFL Draft by the Redskins. He played college football for Florida Atlantic University.,NULL,NULL,12/12/1988,Pensacola Florida,1988-01-01T00:00:00+02:00,Washington Redskins,2012-01-01T00:00:00+02:00,Washington Redskins,NULL,NULL,Washington Redskins
348,Allen Bailey,Allen Bailey (born March 25 1989) is an American football defensive end for the Kansas City Chiefs. Prior to being drafted by Kansas City Bailey played college football for the University of Miami.,130.6368,NULL,3/25/1989,Sapelo Island,1989-01-01T00:00:00+02:00,Kansas City Chiefs,2011-01-01T00:00:00+02:00,Kansas City Chiefs,1.905,Defensive end,Kansas City Chiefs
349,Allen Barbre,Allen Wade Barbre (born June 22 1984) is an American football offensive tackle for the Philadelphia Eagles. He was selected in the fourth round of the 2007 NFL Draft by the Green Bay Packers. He played college football for Missouri Southern State University.,138.348,NULL,6/22/1984,Neosho Missouri,1984-01-01T00:00:00+02:00,Green Bay Packers,2007-01-01T00:00:00+02:00,{Green Bay Packers|Miami Dolphins|Philadelphia Eagles|Seattle Seahawks},1.9304,NULL,Philadelphia Eagles
350,Allen Bradford (American football),Allen Bradford (born August 31 1988) is an American football linebacker for the New York Giants of the National Football League. He was drafted by the Tampa Bay Buccaneers in the sixth round of the 2011 NFL Draft. He played college football at Southern California.,109.7712,NULL,8/31/1988,Santa Clara County California,1988-01-01T00:00:00+02:00,Tampa Bay Buccaneers,2011-01-01T00:00:00+02:00,{New York Giants|Seattle Seahawks|Tampa Bay Buccaneers},1.8034,NULL,New York Giants
353,Allen Reisner,Allen Reisner (born September 29 1988) is an American football tight end who currently plays for the Minnesota Vikings of the National Football League (NFL). He was signed by the Vikings as an undrafted free agent in 2011. He played college football at Iowa.,115.668,Big Boy,9/29/1988,Marion Iowa,1988-01-01T00:00:00+02:00,Minnesota Vikings,NULL,{Jacksonville Jaguars|Minnesota Vikings},1.905,Tight end,Minnesota Vikings
357,Alonzo Ephraim,Alonzo Brandon Ephraim (born November 8 1981 in Birmingham Alabama) is a former American football and arena football offensive lineman. He played college football at Alabama.Ephraim was originally signed as an undrafted free agent by the Philadelphia Eagles in 2003. In his career he has also played for the Miami Dolphins and Cleveland Browns.,141.5232,NULL,11/8/1981,Birmingham Alabama,1981-01-01T00:00:00+02:00,Philadelphia Eagles,NULL,{Cleveland Browns|Miami Dolphins|Philadelphia Eagles|New York Dragons|All American Football League},1.9304,Lineman (American football),NULL
366,Alphonso Hodge,Alphonso Hodge (born May 30 1982 in Cleveland Ohio) is a professional American and Canadian football defensive back who is currently a free agent. He was originally drafted by the Kansas City Chiefs of the National Football League in the fifth-round (147th overall) of the 2005 NFL Draft.Hodge has also played for the New York Jets the Cleveland Gladiators and the Toronto Argonauts.,92.0808,NULL,5/30/1982,Ohio,1982-01-01T00:00:00+02:00,Cleveland Gladiators,2005-01-01T00:00:00+02:00,{New York Jets|Cleveland Gladiators|Kansas City Renegades|Toronto Argonauts|Kansas City Chiefs},1.778,Cornerback,NULL
371,Alshon Jeffery,Alshon Jeffery (born February 14 1990) is an American football wide receiver for the Chicago Bears of the National Football League. At the beginning of the 2011 season he was named by ESPN as the best overall player in the SEC. He was runner-up for the 2010 Biletnikoff Award which is awarded to the best wide receiver in college football.,NULL,NULL,2/14/1990,St. Matthews South Carolina,1990-01-01T00:00:00+02:00,Chicago Bears,2012-01-01T00:00:00+02:00,Chicago Bears,NULL,NULL,Chicago Bears
372,Alterraun Verner,Alterraun Ennis Verner (born December 13 1988) is an American football cornerback for the Tampa Bay Buccaneers of the National Football League (NFL). He played college football at UCLA. He was drafted by the Tennessee Titans in the 2010 NFL Draft.,84.8232,NULL,12/13/1988,Orange California,1988-01-01T00:00:00+02:00,Tennessee Titans,2010-01-01T00:00:00+02:00,{Tampa Bay Buccaneers|Tennessee Titans},1.778,Cornerback,Tampa Bay Buccaneers
376,Alvance Robinson,Alvance Robinson (born May 13 1983) is an American football wide receiver for the Portland Thunder of the Arena Football League (AFL). He played college football at Alabama State University earning First Team All-Southwestern Athletic Conference in 2005. He was signed as a free agent by the Milwaukee Iron in 2010.,77.112,NULL,5/13/1983,Dayton Ohio,1983-01-01T00:00:00+02:00,Lubbock Renegades,NULL,NULL,1.7526,Wide receiver,{Philadelphia Soul|Oklahoma City Yard Dawgz|Utah Blaze|Pittsburgh Power|Lubbock Renegades|Milwaukee Mustangs|Portland Thunder|South Georgia Wildcats}
379,Alvin Bailey,Alvin David Bailey (born August 26 1991) is an American football offensive lineman for the Seattle Seahawks of the National Football League (NFL). He played college football at Arkansas. He was signed as an undrafted free agent by the Seahawks in 2013.,NULL,NULL,8/26/1991,Broken Arrow Oklahoma,1991-01-01T00:00:00+02:00,Seattle Seahawks,NULL,Seattle Seahawks,NULL,NULL,Seattle Seahawks
385,Alvin Pearman,Francis Alvin Pearman II (born August 10 1982 in Princeton New Jersey) is an American football running back who is currently a free agent having last played for the Tennessee Titans of the National Football League. He was drafted by the Jacksonville Jaguars in the fourth round of the 2005 NFL Draft. He played college football at Virginia.Pearman has also played for the Seattle Seahawks.,92.5344,NULL,8/10/1982,NULL,1982-01-01T00:00:00+02:00,Jacksonville Jaguars,2005-01-01T00:00:00+02:00,{Jacksonville Jaguars|Seattle Seahawks|Tennessee Titans},1.778,Running back,NULL
388,Alvin Ray Jackson,Alvin Ray Jackson (born September 29 1980) is an American football/arena football linebacker for the New Orleans VooDoo of the Arena Football League.,99.792,Jackson Alvin Ray,9/29/1980,Como Mississippi,1980-01-01T00:00:00+02:00,South Georgia Wildcats,NULL,{Indiana Firebirds|Pittsburgh Power|New Orleans VooDoo|South Georgia Wildcats|Arkansas Diamonds},1.905,Linebacker,New Orleans VooDoo
397,Amara Kamara,Amara Kamara (born February 2 1988 in Liberia) is a Liberian-American gridiron football linebacker for the Harrisburg Stampede of the Professional Indoor Football League in Pennsylvania in the United States. After his family immigrated to the United States he attended local schools in Newark New Jersey where he started playing American football. In 2006 he was named by The Star-Ledger as the State Defensive Player of the Year.,106.596,NULL,2/2/1988,Liberia,1988-01-01T00:00:00+02:00,Harrisburg Stampede,NULL,{BC Lions|Harrisburg Stampede|Kansas City Chiefs},1.8796,Linebacker,Harrisburg Stampede
399,Amari Spievey,Amari Spievey (born April 15 1988) is an American football safety and is currently a free agent. He played college football at Iowa. He was considered one of the top cornerback prospects for the 2010 NFL Draft. He was picked in the 3rd round (66th overall) in the 2010 NFL Draft. On August 31 2013 he was released by the Lions.,88.452,NULL,4/15/1988,Middletown Connecticut,1988-01-01T00:00:00+02:00,Detroit Lions,2010-01-01T00:00:00+02:00,Detroit Lions,1.8034,NULL,NULL
403,Amini Silatolu,Aminiasi Silatolu (born September 16 1988) is an American football guard for the Carolina Panthers of the National Football League (NFL). Of Tongan descent Silatolu attended and played college football for Midwestern State University from 2010 to 2011. He was selected by the Panthers in the second round of the 2012 NFL Draft with the 40th overall pick.,NULL,NULL,9/16/1988,Redwood City California,1988-01-01T00:00:00+02:00,Carolina Panthers,2012-01-01T00:00:00+02:00,Carolina Panthers,NULL,NULL,Carolina Panthers
405,Amobi Okoye,Amobi Okoye (born June 10 1987) is a Nigerian-American defensive tackle of American football who is currently a free agent. He was drafted by the Houston Texans tenth overall in the 2007 NFL Draft. He played college football at Louisville.,133.812,NULL,6/10/1987,Nigeria,1987-01-01T00:00:00+02:00,Houston Texans,2007-01-01T00:00:00+02:00,{Chicago Bears|Houston Texans|Tampa Bay Buccaneers},1.8796,NULL,NULL
406,Amon Gordon,Amon Gordon (born October 13 1981) is an American football defensive end who is a free agent of the National Football League. He was drafted by the Cleveland Browns in the fifth round of the 2004 NFL Draft. He played college football at Stanford.Gordon has also been a member of the Denver Broncos Baltimore Ravens Tennessee Titans Philadelphia Eagles New England Patriots and Seattle Seahawks.,138.348,NULL,10/13/1981,NULL,1981-01-01T00:00:00+02:00,Cleveland Browns,2004-01-01T00:00:00+02:00,{Baltimore Ravens|Cleveland Browns|Denver Broncos|New England Patriots|Philadelphia Eagles|Seattle Seahawks|Tennessee Titans|Kansas City Chiefs},1.8796,Defensive end,NULL
412,Andre Anderson,Andre Anthony Anderson (born May 1 1988 in Ft. Lauderdale Florida) is an American football running back. He played his college football at Tulane.,96.1632,NULL,5/1/1988,NULL,1988-01-01T00:00:00+02:00,NULL,NULL,{Buffalo Bills|Seattle Seahawks},1.8288,Running back,NULL
413,Andre Davis,Andre Davis is not to be confused with former Cleveland Browns teammate linebacker Andra Davis.Andre N. Davis (born June 12 1979 in Niskayuna New York) is a former American football wide receiver and kick returner. He was originally drafted by the Cleveland Browns in the second round of the 2002 NFL Draft. He played college football at Virginia Tech.In addition to the Browns Davis has also played for the New England Patriots Buffalo Bills and Houston Texans in his career.,88.452,NULL,6/12/1979,Niskayuna New York,1979-01-01T00:00:00+02:00,Cleveland Browns,2002-01-01T00:00:00+02:00,{Buffalo Bills|Cleveland Browns|Houston Texans|New England Patriots},1.8542,NULL,NULL
416,Andrae Thurman,D'Andrae Carnell Thurman (born October 25 1980) is an American football wide receiver who is currently a free agent. He was signed by the New York Giants of the National Football League (NFL) as an undrafted free agent in 2004. He played college football at Southern Oregon University.Thurman has also been a member of the Houston Texans Green Bay Packers Tennessee Titans Winnipeg Blue Bombers and Dallas Desperados.,86.184,NULL,10/25/1980,Houston Texas,1980-01-01T00:00:00+02:00,Green Bay Packers,NULL,{Green Bay Packers|Houston Texans|New York Giants|Pittsburgh Steelers|Tennessee Titans|Arizona Rattlers|Dallas Desperados|Philadelphia Soul|Jacksonville Sharks|Winnipeg Blue Bombers|Milwaukee Mustangs|Portland Thunder|Las Vegas Locomotives},1.8034,NULL,NULL
418,Andre Branch,Orlandus Andre Branch (born July 14 1989) is an American football defensive end for the Jacksonville Jaguars of the National Football League. He played college football at Clemson. He was selected by the Jaguars in the second round of the 2012 NFL Draft with the 38th overall pick.,NULL,NULL,7/14/1989,Richmond Virginia,1989-01-01T00:00:00+02:00,Jacksonville Jaguars,2012-01-01T00:00:00+02:00,Jacksonville Jaguars,NULL,Defensive end,Jacksonville Jaguars
421,Andre Caldwell,Andre Jerome Caldwell (born April 15 1985) nicknamed Bubba Caldwell is an American professional football player who is currently a wide receiver for the Denver Broncos of the National Football League (NFL). Caldwell played college football for the University of Florida where he was a member of a BCS National Championship team. A third-round pick in the 2008 NFL Draft he has played professionally for the Cincinnati Bengals and the Denver Broncos.,90.72,{Caldwell Andre Jerome|Caldwell Andre J.|Caldwell Bubba},4/15/1985,Tampa Florida,1985-01-01T00:00:00+02:00,Cincinnati Bengals,2008-01-01T00:00:00+02:00,{Cincinnati Bengals|Denver Broncos},1.8288,Wide receiver,Denver Broncos
427,Andre Dixon,Andre Jamar Dixon (born February 19 1986) is an American football running back who currently a free-agent. He most recently was a member of the Calgary Stampeders of the Canadian Football League.. He was signed by the Hartford Colonials as a first round draft pick in 2010. He played college football at Connecticut.,92.988,NULL,2/6/1988,NULL,1988-01-01T00:00:00+02:00,Hartford Colonials,NULL,{New York Giants|Calgary Stampeders|Sacramento Mountain Lions|Hartford Colonials},1.8542,NULL,Free agent
429,Andre Ellington,Andre Ellington (born February 3 1989) is an American football running back for the Arizona Cardinals of the National Football League (NFL). He played college football for the Clemson Tigers. He was considered one of the top prospects at his position in the 2013 NFL Draft.,NULL,NULL,2/3/1989,Moncks Corner South Carolina,1989-01-01T00:00:00+02:00,Arizona Cardinals,2013-01-01T00:00:00+02:00,Arizona Cardinals,NULL,Running back,Arizona Cardinals
430,Andre Fluellen,Andre Fluellen (born March 7 1985) is an American football defensive tackle for the Detroit Lions. He played college football at Florida State.,136.9872,NULL,3/7/1985,Philadelphia,1985-01-01T00:00:00+02:00,Detroit Lions,2008-01-01T00:00:00+02:00,{Chicago Bears|Detroit Lions|Miami Dolphins},1.8796,Tackle (American and Canadian football),Detroit Lions
432,Andre Gurode,Andre Bernard Gurode (/d???r?d/ born March 6 1979) is an American football center and guard for the Oakland Raiders of the National Football League (NFL). He played college football for the University of Colorado earning All-American recognition. The Dallas Cowboys selected him in the second round of the 2002 NFL Draft. He is a five-time Pro Bowl selection. He has also played for the Baltimore Ravens and Chicago Bears.,145.152,{Gurode Andre Bernard|Gurode Andre B},3/6/1979,Houston,1979-01-01T00:00:00+02:00,Dallas Cowboys,2002-01-01T00:00:00+02:00,{Baltimore Ravens|Chicago Bears|Dallas Cowboys|Oakland Raiders},1.9304,{Center (American and Canadian football)|Guard (American and Canadian football)},Oakland Raiders
437,Andre Holmes,Andre Holmes (born June 16 1988) is an American football wide receiver for the Oakland Raiders of the National Football League (NFL). Holmes has also played for the Dallas Cowboys and the New England Patriots and was originally signed by the Minnesota Vikings as a undrafted free agent in 2011. He played college football at Hillsdale College.Holmes played college football at Hillsdale College.,95.256,NULL,6/16/1988,Hoffman Estates Illinois,1988-01-01T00:00:00+02:00,Dallas Cowboys,NULL,{Dallas Cowboys|Minnesota Vikings|New England Patriots|Oakland Raiders},1.9304,Wide receiver,Oakland Raiders
438,Andre Johnson,Andre Lamont Johnson (born July 11 1981) is an American football wide receiver for the Houston Texans of the National Football League (NFL). He played college football for the University of Miami. He was drafted by the Texans third overall in the 2003 NFL Draft. Johnson is second all-time in NFL history in receiving yards per game (80.4) trailing only Calvin Johnson (83.0) and holds nearly every Texans receiving record.,104.328,NULL,7/11/1981,Miami,1981-01-01T00:00:00+02:00,Houston Texans,2003-01-01T00:00:00+02:00,Houston Texans,1.905,Wide receiver,Houston Texans
440,Andre Jones,Andre Jones (born in May 25 1985) is an American football defensive back for the Los Angeles Kiss of the Arena Football League (AFL). He played college football at the University of Akron.,90.72,NULL,5/25/1985,Forestville Maryland,1985-01-01T00:00:00+02:00,Milwaukee Mustangs,NULL,{San Jose SaberCats|Los Angeles Kiss|Milwaukee Mustangs|San Antonio Talons},1.8034,Defensive back,Los Angeles Kiss
447,Andre Roberts (American football),Andre Roberts (born January 9 1988) is a American football wide receiver for the Washington Redskins of the National Football League (NFL). He was drafted by the Arizona Cardinals in the third round of the 2010 NFL Draft. He played college football at The Citadel.,88.452,NULL,1/9/1988,Columbia South Carolina,1988-01-01T00:00:00+02:00,Arizona Cardinals,2010-01-01T00:00:00+02:00,{Arizona Cardinals|Washington Redskins},1.8034,Wide receiver,Washington Redskins
449,Andre Smith (offensive tackle),Andre Dewayne Smith Jr. (born January 25 1987) is an American football offensive tackle for the Cincinnati Bengals of the National Football League (NFL). He played college football for the University of Alabama and was recognized as an All-American. He was drafted by the Cincinnati Bengals in the first round of the 2009 NFL Draft.,151.956,{Smith Andre Dean Jr.|Smith Andre D. Jr.},1/25/1987,Birmingham Alabama,1987-01-01T00:00:00+02:00,Cincinnati Bengals,2009-01-01T00:00:00+02:00,Cincinnati Bengals,1.9304,Tackle (American and Canadian football),Cincinnati Bengals
450,Andre Smith (tight end),Andre Smith (born September 26 1988) is an American football tight end for the Cleveland Browns of the National Football League. He was signed by the Chicago Bears as an undrafted free agent in 2011. He played college football for Virginia Tech.,122.472,NULL,9/26/1988,Savannah Georgia,1988-01-01T00:00:00+02:00,Chicago Bears,NULL,{Chicago Bears|Cleveland Browns|Dallas Cowboys|Indianapolis Colts},1.9558,Tight end,Cleveland Browns
463,Andrew DePaola,Andrew DePaola (born July 28 1987) is an American football long snapper. He was signed to a future contract on January 3 2013.,92.988,NULL,7/28/1987,Parkton Maryland,1987-01-01T00:00:00+02:00,NULL,NULL,Tampa Bay Buccaneers,1.8796,Long snapper,NULL
465,Andrew Gachkar,Andrew Gachkar (born November 4 1988) in Overland Park Kansas is an American football linebacker for the San Diego Chargers of the National Football League.,108.864,NULL,11/4/1988,Overland Park Kansas,1988-01-01T00:00:00+02:00,San Diego Chargers,2011-01-01T00:00:00+02:00,San Diego Chargers,1.905,Linebacker,San Diego Chargers
